stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1174,1174,Plaine de Baud,Rennes,48.11258402,-1.64286132,,,0
1175,1175,Beaulieu Chimie,Rennes,48.11698398,-1.63390592,,,0
1176,1176,Beaulieu INSA,Rennes,48.11901733,-1.63514782,,,0
1177,1177,Beaulieu Restau. U.,Rennes,48.12187978,-1.640286,,,0
1178,1178,Beaulieu Cité U.,Rennes,48.12078326,-1.64386488,,,0
1179,1179,Jeanne d'Arc,Rennes,48.11698403,-1.65584808,,,0
1180,1180,Balzac,Rennes,48.1161613,-1.65932935,,,0
1181,1181,Musset Cité U.,Rennes,48.11619453,-1.66258994,,,0
1182,1182,George Sand,Rennes,48.11625003,-1.66505828,,,0
1183,1183,Hôtel Dieu,Rennes,48.11735546,-1.67855043,,,0
1184,1184,Dinan,Rennes,48.11717158,-1.68158998,,,0
1185,1185,Legraverend,Rennes,48.11767912,-1.68484515,,,0
1186,1186,Anatole France,Rennes,48.11853287,-1.68815907,,,0
1187,1187,Maison Diocésaine,Rennes,48.11402889,-1.69825899,,,0
1188,1188,La Salle,Rennes,48.11498492,-1.70208633,,,0
1189,1189,Languedoc,Rennes,48.11603293,-1.70563932,,,0
1190,1190,Villejean-Churchill,Rennes,48.11740687,-1.70825224,,,0
1191,1191,Languedoc,Rennes,48.11557372,-1.70472339,,,0
1192,1192,La Salle,Rennes,48.11489023,-1.70129713,,,0
1193,1193,Maison Diocésaine,Rennes,48.11377696,-1.6980212,,,0
1194,1194,Anatole France,Rennes,48.1182104,-1.68720155,,,0
1195,1195,Legraverend,Rennes,48.11776089,-1.6850048,,,0
1196,1196,Dinan,Rennes,48.11720567,-1.68231994,,,0
1197,1197,Sévigné,Rennes,48.11640279,-1.67325639,,,0
1198,1198,George Sand,Rennes,48.11631466,-1.66888706,,,0
1199,1199,Musset Cité U.,Rennes,48.11620028,-1.66290006,,,0
1200,1200,Jeanne d'Arc,Rennes,48.11682755,-1.6563862,,,0
1201,1201,Vitré Foulon,Rennes,48.11911266,-1.64919701,,,0
1202,1202,Beaulieu Cité U.,Rennes,48.12062049,-1.64433521,,,0
1203,1203,Beaulieu Restau. U.,Rennes,48.12203302,-1.6395994,,,0
1204,1204,Beaulieu INSA,Rennes,48.11947653,-1.63539005,,,0
1205,1205,Veyettes,Rennes,48.09712076,-1.62923032,,,0
1206,1206,Tremblaie,Rennes,48.10015773,-1.6315419,,,0
1207,1207,Pré Garel,Rennes,48.10349005,-1.63459292,,,0
1208,1208,Saint-Saëns,Rennes,48.10411631,-1.63768938,,,0
1209,1209,Pavie,Rennes,48.10500817,-1.64456415,,,0
1210,1210,Cimetière de l'Est,Rennes,48.10429184,-1.64969605,,,0
1211,1211,Serpette,Rennes,48.10317679,-1.65251241,,,0
1212,1212,Mouézy,Rennes,48.10191268,-1.65652502,,,0
