agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_id
1,56,Rennes (Charles de Gaulle) <> Chavagne,Suburbaine,3,,009a4a,ffffff,56
1,57,Rennes (République) <> Saint-Jacques-de-la-Lande / Bruz (Centre),Suburbaine,3,,A57223,FFFFFF,57
1,59,Vern-sur-Seiche <> Rennes (La Poterie) / Rennes (Henri Fréville) <> Bruz (Centre),Suburbaine,3,,F09CBE,201D21,59
1,61,Rennes (Henri Fréville) <> Noyal-Châtillon-sur-Seiche / Saint-Erblon,Suburbaine,3,,e43d6a,ffffff,61
1,64,Rennes (République) <> Acigné,Suburbaine,3,,008dd6,ffffff,64
1,65,Rennes (Villejean-Université) <> Pacé / Parthenay / Clayes,Suburbaine,3,,e16ba0,ffffff,65
1,67,Rennes (République) <> Cesson-Sévigné / Brécé,Suburbaine,3,,e0083b,ffffff,67
1,68,Rennes (Villejean-Université) <> Gévezé,Suburbaine,3,,d6c800,201d21,68
1,70,Rennes (Hoche) <> Saint-Sulpice-la-Forêt,Suburbaine,3,,EA748A,FFFFFF,70
1,71,Rennes (Hoche) <> Betton / Chevaigné,Suburbaine,3,,A57223,FFFFFF,71
1,72,Rennes (Henri Fréville) <> Chartres-de-Bretagne / Pont-Péan / Laillé,Suburbaine,3,,0C3C91,FFFFFF,72
1,73,Rennes (La Poterie) <> Vern-sur-Seiche / Saint-Armel / Corps-Nuds,Suburbaine,3,,BF82B2,FFFFFF,73
1,74,Rennes (Henri Fréville) <> Orgères / Bourgbarré,Suburbaine,3,,f6c200,201d21,74
1,75,Rennes (La Poterie) <> Nouvoitou,Suburbaine,3,,ef9940,ffffff,75
1,76,Rennes (Villejean-Université) <> Vezin-le-Coquet / Le Rheu,Express suburbaine,3,,FCE000,0063B0,76
1,77,Rennes (Villejean-Université) <> Pacé,Suburbaine,3,,f6c200,201d21,77
